epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr
1,2.1315883077062048,0.46945474886651356,0.37226704596349347,1.7300990205073885,0.6042746113989638,0.5265926603068873,0.0001
2,1.7722446717032765,0.5878672790437496,0.5188335255048989,1.626147731766631,0.6359514837494112,0.5770964742473219,0.0001
3,1.6709077259975222,0.6239180356827415,0.5663116122906208,1.5719742834483796,0.6552048987282147,0.6033501409827117,0.0001
4,1.5978736670300964,0.6500912677383266,0.5979395158102405,1.5377590902223377,0.6698657560056523,0.6229953467205276,0.0001
5,1.5436431811146887,0.66991991991992,0.6225237426982699,1.501081010052128,0.6817593028732926,0.6399923187602016,0.0001
6,1.499515859804017,0.6835806394629924,0.6395544159669078,1.490391842722612,0.6855864342910976,0.6429623094370309,0.0001
7,1.459244006023891,0.6964464464464465,0.6555989266367611,1.4757938006549751,0.692769665567593,0.6520817003579431,0.0001
8,1.424448622436144,0.7111376081964317,0.6731233369172581,1.459560988480563,0.6971267074894018,0.6570889913918266,0.0001
9,1.3897746944640879,0.7256668433139022,0.6894117702488862,1.4585809337042774,0.6983042863871879,0.657101393497667,0.0001
10,1.3570226921193178,0.736133192015545,0.7009376925642085,1.4548801240413411,0.6995996231747527,0.6596025000335188,0.0001
11,1.3276063025380265,0.7478507919684391,0.7165467341001284,1.4453679548363274,0.705193122939237,0.6695394920638164,0.0001
12,1.3018428421705595,0.7580374492139198,0.7298026902491166,1.4408001305076574,0.7084314649081489,0.6716029819746664,0.0001
13,1.2742890522953536,0.7665017959135606,0.7374117438836266,1.4417454025625227,0.7072538860103627,0.6716532264687191,0.0001
14,1.252574720154141,0.7778072189836895,0.7510167683052403,1.4364136075614142,0.711139896373057,0.6772298757579558,0.0001
15,1.2235871013845085,0.7892892892892893,0.7640057675082583,1.444946659212117,0.7116698068770607,0.6780837647455621,0.0001
16,1.1984195889063762,0.7975328269445916,0.7721139029718856,1.444547224763537,0.7143193593970796,0.6817154235744213,0.0001
17,1.1777635743478607,0.8058646882176294,0.7816921483320607,1.446570773591874,0.7132006594441828,0.6814960424111264,0.0001
18,1.159275192889562,0.8136960489901667,0.7909326577724646,1.4547006999104302,0.7129062647197362,0.6816437831676204,0.0001
19,1.136707579858633,0.8217776600129542,0.8010716171085668,1.457013039110519,0.7144371172868582,0.6851629356134845,0.0001
20,1.1166785713542948,0.8300653594771242,0.8099936568778452,1.4594490154138782,0.7154380593499764,0.6826622578837176,0.0001
