epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.47974446415901184,0.0010000000474974513,1.8437774181365967,0.5515190958976746,1.5421513319015503
1,0.5403344631195068,0.0010000000474974513,1.5907492637634277,0.565355658531189,1.4977911710739136
2,0.5540688037872314,0.0010000000474974513,1.5341987609863281,0.5664743185043335,1.4715476036071777
3,0.5591326355934143,0.0010000000474974513,1.5163816213607788,0.5735397934913635,1.4615602493286133
4,0.5629305839538574,0.0010000000474974513,1.5046499967575073,0.5748351216316223,1.483665943145752
5,0.562135636806488,0.0010000000474974513,1.506569504737854,0.5793099403381348,1.4709984064102173
6,0.5807719230651855,0.0005000000237487257,1.4057825803756714,0.5877296328544617,1.4127507209777832
7,0.5862333178520203,0.0005000000237487257,1.3911662101745605,0.5909679532051086,1.4037526845932007
8,0.5871312618255615,0.0005000000237487257,1.3880729675292969,0.5879651308059692,1.4103151559829712
9,0.5875139832496643,0.0005000000237487257,1.3766412734985352,0.5960315465927124,1.3965712785720825
