,precision,recall,f1-score,support
0,0.6672212978369384,0.6436597110754414,0.6552287581699346,623.0
1,0.7151394422310757,0.7151394422310757,0.7151394422310757,502.0
2,0.7133956386292835,0.6815476190476191,0.6971080669710806,336.0
3,0.8455882352941176,0.6927710843373494,0.7615894039735099,166.0
4,0.7205387205387206,0.8014981273408239,0.7588652482269503,534.0
5,0.9627791563275434,0.9810366624525917,0.9718221665623044,791.0
6,0.7142857142857143,0.032679738562091505,0.0625,153.0
7,0.5296482412060302,0.5410677618069816,0.5352971051295073,974.0
8,0.5544871794871795,0.4178743961352657,0.4765840220385675,414.0
9,0.7839866555462885,0.931615460852329,0.8514492753623188,1009.0
10,0.9782608695652174,0.2795031055900621,0.43478260869565216,161.0
11,0.5700934579439252,0.3674698795180723,0.4468864468864469,498.0
12,0.5665236051502146,0.6111111111111112,0.5879732739420935,648.0
13,0.6520179372197309,0.716256157635468,0.6826291079812207,1015.0
14,0.8322072072072072,0.8583042973286876,0.8450543167524299,861.0
15,0.8301886792452831,0.8198757763975155,0.825,161.0
16,0.6164154103852596,0.7367367367367368,0.6712266301869585,999.0
17,1.0,0.20606060606060606,0.3417085427135678,165.0
18,0.8098859315589354,0.8949579831932774,0.8502994011976048,952.0
19,0.8074807480748075,0.768586387434555,0.7875536480686696,955.0
20,0.7640449438202247,0.7183098591549296,0.7404718693284936,284.0
21,0.7739602169981917,0.8577154308617234,0.8136882129277566,998.0
22,0.6847133757961783,0.41505791505791506,0.5168269230769231,518.0
23,0.8507130124777184,0.93486777668952,0.8908072795146991,2042.0
24,0.5724465558194775,0.48296593186372744,0.5239130434782608,499.0
25,0.7845117845117845,0.8442028985507246,0.8132635253054101,552.0
26,0.972972972972973,0.8275862068965517,0.8944099378881988,174.0
accuracy,0.7398728214790391,0.7398728214790391,0.7398728214790391,0.7398728214790391
macro avg,0.7508706292640748,0.6584614097749167,0.6722991946892457,16984.0
weighted avg,0.7394919516313156,0.7398728214790391,0.7288991763469249,16984.0
