epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,epoch_minutes
1,2.934746437258626,0.24715892362951186,0.10136184983413198,2.546156941075624,0.352213848327838,0.15810685204746708,1e-05,14.017329514026642
2,2.248170895394817,0.4392627922039687,0.21279648854693645,1.9921844862454128,0.500942063118229,0.2495053134474557,1e-05,12.809493430455525
3,1.8207339386155803,0.5287198963669552,0.28021683255310703,1.668129374747337,0.5623528026377768,0.31580975985974336,1e-05,12.289532546202341
4,1.566860662074938,0.5808602720367426,0.3496339596559353,1.4645083549586433,0.6063942534149788,0.3829286457732192,1e-05,13.264396051565805
5,1.4008195940305324,0.6162633221456751,0.40841611890247403,1.326788827938344,0.6357748469147433,0.4372215002423751,1e-05,13.517597015698751
6,1.2859971322584705,0.6396543602425956,0.45751338246119205,1.229289775278228,0.656382477626001,0.48136546451556167,1e-05,13.987141346931457
7,1.202111662383538,0.6599835129246894,0.4960960852070418,1.1568916236952798,0.6720442769665568,0.5149401288282396,1e-05,11.790483812491098
8,1.1395310381869297,0.6742624977919096,0.5299052119860179,1.1010675042572866,0.685292039566651,0.5517767162744176,1e-05,13.264531350135803
9,1.0890563709017231,0.6874815992463051,0.5629156397702932,1.0556302226928962,0.6963024022609515,0.5771464474896542,1e-05,12.247169868151348
10,1.046784515514718,0.6971235941824178,0.5830148228630762,1.0174366606437144,0.7068417333961375,0.597752131478496,1e-05,12.318484346071878
11,1.011630893750346,0.706088441382559,0.6003523084616953,0.9849282887589241,0.7129062647197362,0.6087749696347114,1e-05,12.235112086931865
12,0.9821821537393286,0.7127715951245363,0.6132581416077539,0.9565267859415463,0.7215614696184645,0.6261055271286731,1e-05,13.931188956896465
13,0.9533914618949998,0.7191750574103515,0.6283829512881882,0.9314494227786082,0.7269783325482807,0.6385633336259912,1e-05,12.106767431894939
14,0.9309465382104486,0.7272125066242713,0.6459000155532186,0.9090987402371961,0.7352213848327838,0.6599922283137162,1e-05,12.212632497151693
15,0.9080254024601316,0.732982982982983,0.6604836981549614,0.8891554573972833,0.7398728214790391,0.6722991946892457,1e-05,12.384148053328197
