,precision,recall,f1-score,support
0,0.4662698412698413,0.37720706260032105,0.417036379769299,623.0
1,0.4711191335740072,0.5199203187250996,0.4943181818181818,502.0
2,0.49262536873156343,0.49702380952380953,0.4948148148148148,336.0
3,0.7564102564102564,0.7108433734939759,0.7329192546583851,166.0
4,0.6643717728055077,0.7228464419475655,0.6923766816143497,534.0
5,0.8655256723716381,0.8950695322376738,0.8800497203231821,791.0
6,0.6153846153846154,0.26143790849673204,0.3669724770642202,153.0
7,0.5578034682080925,0.39630390143737165,0.46338535414165666,974.0
8,0.4253968253968254,0.32367149758454106,0.3676268861454047,414.0
9,0.7152485256950295,0.8414271555996036,0.773224043715847,1009.0
10,0.7329545454545454,0.8012422360248447,0.7655786350148368,161.0
11,0.5174825174825175,0.5943775100401606,0.5532710280373832,498.0
12,0.6254125412541254,0.5848765432098766,0.6044657097288676,648.0
13,0.6497354497354497,0.6049261083743842,0.6265306122448979,1015.0
14,0.8372379778051788,0.7886178861788617,0.812200956937799,861.0
15,0.7922077922077922,0.7577639751552795,0.7746031746031746,161.0
16,0.5678294573643411,0.5865865865865866,0.5770556376169375,999.0
17,0.6363636363636364,0.4666666666666667,0.5384615384615384,165.0
18,0.6598579040852576,0.7804621848739496,0.7151106833493744,952.0
19,0.7306273062730627,0.6219895287958115,0.6719457013574661,955.0
20,0.6351351351351351,0.6619718309859155,0.6482758620689655,284.0
21,0.7022026431718061,0.7985971943887775,0.7473042662916081,998.0
22,0.5812182741116751,0.4420849420849421,0.5021929824561403,518.0
23,0.7961538461538461,0.9123408423114594,0.850296668188042,2042.0
24,0.524731182795699,0.48897795591182364,0.5062240663900415,499.0
25,0.6127450980392157,0.6793478260869565,0.6443298969072165,552.0
26,0.5142857142857142,0.5172413793103449,0.5157593123209169,174.0
accuracy,0.6646844088553933,0.6646844088553933,0.6646844088553933,0.6646844088553933
macro avg,0.6350495000580139,0.6160674888382716,0.6198640935570574,16984.0
weighted avg,0.6581107642755473,0.6646844088553933,0.657337530841856,16984.0
