,precision,recall,f1-score,support
0,0.864951768488746,0.8635634028892456,0.8642570281124498,623.0
1,0.9173387096774194,0.9063745019920318,0.9118236472945892,502.0
2,0.8764367816091954,0.9077380952380952,0.8918128654970761,336.0
3,0.9634146341463414,0.9518072289156626,0.9575757575757575,166.0
4,0.8497316636851521,0.8895131086142322,0.869167429094236,534.0
5,0.986198243412798,0.9936788874841972,0.9899244332493703,791.0
6,0.746268656716418,0.6535947712418301,0.6968641114982579,153.0
7,0.8304721030042919,0.7946611909650924,0.8121720881427072,974.0
8,0.719047619047619,0.7294685990338164,0.7242206235011991,414.0
9,0.9940652818991098,0.9960356788899901,0.995049504950495,1009.0
10,1.0,1.0,1.0,161.0
11,0.8346303501945526,0.8614457831325302,0.8478260869565217,498.0
12,0.8813559322033898,0.8827160493827161,0.882035466461064,648.0
13,0.8972055888223552,0.8857142857142857,0.8914229053049083,1015.0
14,0.9367088607594937,0.9454123112659698,0.9410404624277456,861.0
15,0.9573170731707317,0.9751552795031055,0.9661538461538461,161.0
16,0.86328125,0.8848848848848849,0.8739495798319328,999.0
17,0.95,0.9212121212121213,0.9353846153846154,165.0
18,0.9284232365145229,0.9401260504201681,0.9342379958246346,952.0
19,0.9056603773584906,0.9047120418848168,0.9051859612362494,955.0
20,0.9080882352941176,0.8697183098591549,0.8884892086330936,284.0
21,0.952286282306163,0.9599198396793587,0.9560878243512974,998.0
22,0.8795180722891566,0.8455598455598455,0.8622047244094488,518.0
23,0.9863347974621767,0.9897159647404505,0.9880224883891469,2042.0
24,0.9574898785425101,0.9478957915831663,0.9526686807653575,499.0
25,0.9744525547445255,0.967391304347826,0.9709090909090909,552.0
26,1.0,0.9942528735632183,0.9971181556195965,174.0
accuracy,0.9166862929816297,0.9166862929816297,0.9166862929816297,0.9166862929816297
macro avg,0.9096547389388621,0.9060099334073265,0.9076149845027662,16984.0
weighted avg,0.9165108226997131,0.9166862929816297,0.9164836982734009,16984.0
